input,reference,decoded1,decoded2,decoded3
udaanaa,उड़ाना,उदाना,उडाना,उदान
udana,उड़ाना,उड़ना,उद़ना,उड़ाा
udaane,उड़ाने,उड़ाने,उद़ाने,उडााने
udane,उड़ाने,उड़ने,उड़ाे,उद़ने
udaanen,उड़ानें,उड़ानें,उद़ानें,उड़ाने
udanen,उड़ानें,उड़नें,उड़ाें,उद़नें
udaanon,उड़ानों,उदानों,उडानों,उद्नों
udanon,उड़ानों,उदानों,उदननों,उद्नों
utane,उतने,उताने,उतनने,उटाने
utaney,उतने,उतने,उताे,उटने
utne,उतने,उतने,उटने,ऊतने
uttara,उत्तरा,उत्तरा,उतरतरा,उट्तरा
uttra,उत्तरा,उत्तरा,उत्त्ा,उत्टरा
utpan,उत्पन,उत्पान,उत्पनन,उत्पाण
udant,उदंत,उदांत,उद्ंत,उदानत
udghosh,उदघोष,उदघोष,उद्ोष,उदघोश
udar,उदर,उदार,उदरर,उडार
uda,उदा,उड़ा,उडाा,उद़ा
udaa,उदा,उड़ा,उद़ा,उडाा
udakishuganj,उदाकिशुनगंज,उदाकीशुगंज,उदाकिशुगंज,उद्कीशुगंज
udakishunganj,उदाकिशुनगंज,उदाकीशुंजंज,उदाकिशुंजंज,उदाकीशंंजंज
unatees,उनतीस,यूनेट,उूनेट,अूनेट
untees,उनतीस,अनतीस,अंतीस,अन्ीस
uniyal,उनियाल,यूनियल,युनियल,अूनियल
upadraviyon,उपद्रवियों,उपद्रवियों,उपा्रवियों,उपद्रवीयों
updravion,उपद्रवियों,उपद्रवियों,उपद्राियों,उपद्रेियों
updraviyon,उपद्रवियों,उपद्रवियों,उपद्रवीयों,उपद्राियों
upadravi,उपद्रवी,उपाद्रवी,उपदद्रवी,उपादररवी
updravi,उपद्रवी,उपद्रवी,उपद्ववी,उपद्रवि
upadrawon,उपद्रवों,उपद्रवों,उपा्रवों,उपै्रवों
updravon,उपद्रवों,उपद्रवों,उपद्ववों,उपद्दवों
upneta,उपनेता,उपनेता,उपनेटा,अपनेता
upabhokta,उपभोक्ता,उपभोक्त,उपभोकतत,उपभोक्ता
upbhokta,उपभोक्ता,उपभोक्ता,उपभोक्त,उपभोकतता
uplaksh,उपलक्ष्य,उपलक्ष,उपला्ष,उप्क्ष
uplakshay,उपलक्ष्य,उपलक्षय,उप्क्षय,उपला्षय
uplakshya,उपलक्ष्य,उपलक्ष्य,उप्क्ष्य,उपला्ष्य
uplabdh,उपलब्ध,उपलब्ध,अपलब्ध,उपलबढध
uplabdhiyon,उपलब्धियों,उपलब्धियों,उप्ब्धियों,उपला्धियों
uplabdhi,उपलब्धी,उपलब्धी,उपलब्धि,उपला्धी
upakhyaanon,उपाख्यानों,उपख्यानों,उपा्यानों,उपक्यानों
upakhyanon,उपाख्यानों,उपख्यानों,उपा्यानों,उपख्यननों
ubuntu,उबंटू,उबंटु,यबंटु,उब्टु
ubaal,उबाल,उबाल,ऊबाल,जबाल
ubal,उबाल,उबल,उबा,ऊबल
ubhaara,उभारा,उभारा,ऊभारा,उभाडा
ubhara,उभारा,उभारा,उभररा,ऊभारा
umanath,उमानाथ,उमानाथ,उमानतथ,उम्नाथ
umesh,उमेश,उमेश,उम्श,ऊमेश
urf,उर्फ,आरआर,आरआफ,आरएर
urfa,उर्फ,उर्फा,उरफफा,रर्फा
urff,उर्फ,यूर्फ,अूर्फ,आूर्फ
urvarakon,उर्वरकों,उर्वरकों,उर्वाकों,यर्वरकों
urvarkon,उर्वरकों,उर्वरकों,उर्वर्ों,यर्वरकों
urwarakon,उर्वरकों,उर्वरकों,उर्वाकों,यर्वरकों
urvarata,उर्वरता,उर्वरता,उर्वाता,यर्वरता
urvarta,उर्वरता,उर्वर्ता,उर्वर्त,उर्वरतता
urwarta,उर्वरता,उर्वर्ता,उर्वर्त,यर्वर्ता
ulate,उलटे,उलाते,उलतते,उलेते
ulte,उलटे,उल्टे,उल्ट,उलतटे
ulahana,उलाहना,उलाहना,उलहहना,उलाहाा
ulahna,उलाहना,उलाहना,उलानना,उलहहना
ulema,उलेमा,उलेमा,उलिमा,उल्मा
ulemaon,उलेमाओं,उलेमाओं,उल्माओं,उलिमाओं
usak,उसक,उसक,ऊसक,उसा
usaki,उसकी,उसकी,ऊसकी,यसकी
uski,उसकी,उसकी,उस्ी,ऊसकी
usmein,उसमें,उसमें,उस्ें,उसमीं
usmen,उसमें,उसमें,उस्ें,उसमे
usi,उसी,उसी,ऊसी,यसी
ustara,उस्तरा,उस्तरा,उस्ताा,उस्टरा
udharv,ऊर्ध्व,उधर्व,उधा्व,उध््व
udhrva,ऊर्ध्व,उधर्वा,उधरववा,उध््वा
urdhav,ऊर्ध्व,उर्धाव,उर्धवव,उर्धधव
ushma,ऊष्मा,उष्मा,उष्म,उषममा
rishicool,ऋषिकुल,रिशिकूल,रिशककूल,रिशिकुल
rishikul,ऋषिकुल,रिशिकुल,रिशिकूल,रिशीकुल
rushikul,ऋषिकुल,रुशिकुल,रुशीकुल,रुशिकूल
enzyme,एंजाइम,एन्याम,एन्यमम,इन्याम
anton,एंटोन,एंटन,अंटन,ऐंटन
entone,एंटोन,एंटन,एंटो,एंटने
antoni,एंटोनी,अंटोनी,अंतोनी,एंटोनी
